Date,Datetime,Close_Real_EYAC2,Volume_EYAC2,Close_Dolar_EYAC2,Price_Dolar_Petro,Volume_Petro,Change%_Petro,Índice_Ibovespa,Change%_Ibovespa,Value_IPCA
2022-01-03,2022-01-03 16:56:00,30.42360969,52705026.77,5.888174667595656,75.85,112.23,1.30%,103921.59,-7.149802548927653,0.54%
2022-01-04,2022-01-04 16:56:00,31.24725081,51739287.55,6.06424802724785,76.74,156.45,1.17%,103513.64,-11.448363319439547,0.54%
2022-01-05,2022-01-05 16:56:00,28.88218555,78459838.11,5.698706749930942,77.47,197.97,0.95%,101005.64,-14.514623361459556,0.54%
2022-01-06,2022-01-06 16:56:00,28.06553624,61163141.76,5.479837597625742,78.88,244.0,1.82%,101561.05,-7.166598675464975,0.54%
2022-01-07,2022-01-07 16:56:00,27.96691405,47507585.9,5.443257760952919,78.44,229.28,-0.56%,102719.47,-6.778470761531807,0.54%
2022-01-10,2022-01-10 16:56:00,29.00950839,37455194.96,5.529412242680695,77.7,210.84,-0.94%,101945.2,-5.184507823506723,0.54%
2022-01-11,2022-01-11 16:56:00,28.50826487,73623940.76,5.472781261638287,80.67,270.56,3.82%,103778.98,-5.4624958984457965,0.54%
2022-01-12,2022-01-12 16:56:00,28.1293027,81377968.6,5.465821292554018,82.02,303.16,1.67%,105685.66,-5.850891584751617,0.54%
2022-01-13,2022-01-13 16:56:00,34.06295487,76717505.08,6.499323577561534,81.62,289.31,-0.49%,105529.5,0.1767268986085701,0.54%
2022-01-14,2022-01-14 16:56:00,29.98285616,96458930.27,5.681368886193959,83.3,323.11,2.06%,106927.79,3.272291673326744,0.54%
2022-01-17,2022-01-17 16:56:00,31.11149836,35675841.14,5.958116774230614,83.69,404.3675,-0.17%,106373.87,3.420491037443729,0.54%
2022-01-18,2022-01-18 16:56:00,31.79449175,78198944.41,6.112797137254148,84.83,494.0,1.36%,106667.66,-2.7666755573559687,0.54%
2022-01-19,2022-01-19 16:56:00,34.68700926,77480247.23,6.625854188076637,85.8,511.05,1.14%,108013.47,-0.7869005807559559,0.54%
2022-01-20,2022-01-20 16:56:00,31.31644759,85353018.73,5.967993213782064,85.55,532.2,-0.29%,109101.99,4.1648371320343935,0.54%
2022-01-21,2022-01-21 16:56:00,32.02667767,61345484.27,6.100900594342318,84.14,159.57,-1.65%,108941.68,1.944123242124962,0.54%
2022-01-24,2022-01-24 16:56:00,30.35017191,79117131.74,5.771640564799848,82.41,153.83,-2.06%,107937.11,-1.6048304442842332,0.54%
2022-01-25,2022-01-25 16:56:00,35.79145815,98358485.13,6.749921386138613,84.37,223.59,2.38%,110203.77,-1.4552205306642585,0.54%
2022-01-26,2022-01-26 16:56:00,34.92888151,98679984.07,6.446821984126983,85.96,175.93,1.88%,111289.18,2.121994885145173,0.54%
2022-01-27,2022-01-27 16:56:00,31.45663334,90630633.58,5.795893676530199,85.29,153.94,-0.78%,112611.65,3.56260820184342,0.54%
2022-01-28,2022-01-28 16:56:00,35.08417682,117400446.2,6.53507000335283,85.43,144.85,0.16%,111910.1,3.0686638754372497,0.54%
2022-01-31,2022-01-31 16:56:00,30.64928633,62450098.94,5.781029920591508,86.49,144.7,1.24%,112143.51,-0.3044823085110781,0.54%
2022-02-01,2022-02-01 16:56:00,32.52100081,57315242.97,6.198608750595635,86.46,151.6,-0.03%,113228.31,-4.6747531992271885,1.01%
2022-02-02,2022-02-02 16:56:00,32.3815972,36271946.69,6.176275954147514,86.69,189.9,0.27%,111894.36,0.8733421320236134,1.01%
2022-02-03,2022-02-03 16:56:00,34.84137526,51087997.26,6.674592961685824,88.45,220.87,2.03%,111695.94,7.480976763346292,1.01%
2022-02-04,2022-02-04 16:56:00,32.63733008,59347006.55,6.282208592546966,90.33,175.47,2.13%,112244.94,8.434927029906403,1.01%
2022-02-07,2022-02-07 16:56:00,31.31115911,48868300.94,6.08775671456069,89.77,247.67,-0.62%,111996.4,9.031325804153775,1.01%
2022-02-08,2022-02-08 16:56:00,31.27143071,62590025.01,6.063174870094617,87.9,188.54,-2.08%,112234.46,2.902679094936178,1.01%
