Date,Close_Real_EYAC2,Volume_EYAC2,Close_Dolar_EYAC2,Price_Dolar_Petro,Volume_Petro,Índice_Ibovespa,Year-Month,Value_IPCA,Inflac_IPCA,IPCA_Acumulado
2010-01-29,33.93570267,16106857.97,18.28432255926724,72.89,335.27,65401.77,2010-1,0.75%,0.75,4.312028329689976
2010-02-26,31.8951796,17804380.32,17.36831823132215,79.66,319.04,66503.27,2010-2,0.78%,0.78,4.59232538033707
2010-03-31,37.11439121,16551869.4,20.546053592781224,83.76,371.96,70371.54,2010-3,0.52%,0.52,4.831571873002205
2010-04-30,30.47405338,15688008.79,17.322677000909504,86.15,392.14,67529.73,2010-4,0.57%,0.57,5.166363320101608
2010-05-28,29.27274015,20301487.26,15.80430847100745,73.97,420.67,61946.99,2010-5,0.43%,0.43,5.260560898712385
2010-06-30,26.85648739,18010872.84,15.204941057577988,75.63,357.75,60935.9,2010-6,0.00%,0.0,5.218653638475956
2010-07-30,26.75769123,12928975.48,14.986944791083229,78.95,294.43,67515.4,2010-7,0.01%,0.01,4.841225227656443
2010-08-31,28.84370412,15881290.78,16.455787380191694,71.92,469.41,65145.45,2010-8,0.04%,0.04,4.6006677475849855
2010-09-30,26.06556329,35377460.19,15.16674228441755,79.97,418.63,69429.78,2010-9,0.45%,0.45,4.485779345665519
2010-10-29,26.2748596,31585687.35,15.636074506069985,81.43,313.87,70673.3,2010-10,0.75%,0.75,4.704674134797493
2010-11-30,25.79994378,28357614.03,15.356195333611096,84.11,338.36,67705.4,2010-11,0.83%,0.83,5.195412037104585
2010-12-30,23.89332455,29619313.74,14.27404537308083,89.84,209.65,69304.81,2010-12,0.63%,0.63,5.635428699345257
2011-01-31,28.56142709,33947098.26,17.251405587098333,92.19,436.8,66574.88,2011-1,0.83%,0.83,5.909068347266211
2011-02-28,26.91016636,28891187.2,16.12159499161275,96.97,262.0,67383.22,2011-2,0.80%,0.8,5.993164877963819
2011-03-31,29.87790778,13888832.8,17.915636973076694,106.72,270.63,68586.7,2011-3,0.79%,0.79,6.014199441345025
2011-04-29,22.20207781,15923465.35,13.24943474965686,113.93,201.83,66132.86,2011-4,0.77%,0.77,6.298957040321995
2011-05-31,25.16555059,16156688.73,15.885336819845978,102.7,319.04,64620.08,2011-5,0.47%,0.47,6.510350014450106
2011-06-30,24.02922954,16079121.59,14.726499687442544,95.42,276.58,62403.64,2011-6,0.15%,0.15,6.552771741031616
2011-07-28,24.36798833,17246542.03,15.347980304843484,97.44,236.25,58708.25,2011-7,0.16%,0.16,6.712600898643162
2011-08-31,22.20279537,26420985.03,14.055960603950368,88.81,317.7,56495.12,2011-8,0.37%,0.37,6.872653794701455
2011-09-30,19.01164915,20419095.13,11.88302340771298,79.2,367.96,52324.42,2011-9,0.53%,0.53,7.2251925367271985
2011-10-31,24.86624191,30090118.96,15.66673507434476,93.19,228.56,58338.39,2011-10,0.43%,0.43,7.310588409329877
2011-11-30,21.13884749,29239621.39,11.658952892835476,100.36,302.86,56874.98,2011-11,0.52%,0.52,6.9697508084267445
2011-12-29,20.69726858,21684005.08,11.794659550945976,99.65,153.92,56754.08,2011-12,0.50%,0.5,6.640874256303286
2012-01-31,22.09024282,28139516.31,11.838286613076098,98.48,373.89,63072.31,2012-1,0.56%,0.56,6.503109040628829
2012-02-29,22.25086477,23521586.16,12.022295639723362,107.07,353.13,65811.73,2012-2,0.45%,0.45,6.21791773406366
2012-03-29,25.98587074,23508113.7,14.538363399351011,102.78,319.99,64871.99,2012-3,0.21%,0.21,5.8491055197092745
2012-04-27,19.01219814,14715658.12,11.014540374254098,104.93,182.1,61691.21,2012-4,0.64%,0.64,5.239992698978724
2012-05-30,17.35349028,23451282.42,9.808665091566809,87.82,297.2,53797.91,2012-5,0.36%,0.36,5.10422611119592
2012-06-29,16.53928118,23170078.44,9.059641312445224,84.96,439.01,54354.63,2012-6,0.08%,0.08,4.98915230934236
2012-07-31,20.70128196,38115425.8,10.810633432555225,88.06,282.85,56097.05,2012-7,0.43%,0.43,4.915769976225448
2012-08-31,18.57450918,24108266.49,9.127522938574938,96.47,249.06,57061.45,2012-8,0.41%,0.41,5.198590043054341
2012-09-28,21.91995238,18677753.26,10.486008601224649,92.19,210.2,59175.8,2012-9,0.57%,0.57,5.240514359102222
2012-10-31,19.07405815,29805720.69,9.39007441047605,86.24,212.58,57068.18,2012-10,0.59%,0.59,5.282388631203716
2012-11-30,19.63286372,37179748.3,9.692848047395705,88.91,216.21,57474.57,2012-11,0.60%,0.6,5.450119211518278
2012-12-28,21.35059239,28368641.88,10.536738089127969,90.8,131.37,60952.08,2012-12,0.79%,0.79,5.534042903688174
2013-01-31,18.03497765,33246260.17,8.899130390802327,97.49,230.63,59761.49,2013-1,0.86%,0.86,5.838568997639171
2013-02-28,18.48033313,27829080.28,8.90833122680164,92.05,218.12,57424.29,2013-2,0.60%,0.6,6.154316518515191
2013-03-28,15.95486507,15709276.92,7.633176284566071,97.23,174.39,56352.09,2013-3,0.47%,0.47,6.312834661648847
2013-04-30,20.1128906,45900263.15,9.839484663176949,93.46,277.5,55910.37,2013-4,0.55%,0.55,6.588668780120321
2013-05-31,16.42933996,35299048.29,8.395166050076648,91.97,267.98,53506.08,2013-5,0.37%,0.37,6.493349024653217
2013-06-28,16.35306944,33968735.05,8.230858385343266,96.56,247.61,47457.13,2013-6,0.26%,0.26,6.503960159470323
2013-07-31,14.96057523,23702894.12,7.423129517713605,105.03,299.13,48234.49,2013-7,0.03%,0.03,6.695514044649253
