Date,Price,Open,High,Low,Vol.,Change %
31/12/2024,71.25,70.69,71.52,70.43,63.63,1.02%
30/12/2024,70.53,70.0,71.05,69.75,93.10,0.50%
27/12/2024,70.18,69.27,70.32,69.06,79.13,1.37%
26/12/2024,69.23,69.72,70.25,68.94,69.64,-0.59%
24/12/2024,69.64,69.04,69.94,68.95,40.39,1.21%
23/12/2024,68.81,68.97,69.5,68.22,90.95,-0.30%
20/12/2024,69.02,68.83,69.38,68.05,114.62,-0.52%
19/12/2024,69.38,69.6,70.58,69.1,291.66,-0.91%
18/12/2024,70.02,69.82,70.8,69.39,326.61,0.53%
17/12/2024,69.65,70.23,70.54,68.81,280.90,-0.91%
16/12/2024,70.29,71.0,71.0,69.98,210.75,-0.75%
13/12/2024,70.82,69.64,70.94,69.51,201.26,1.67%
12/12/2024,69.66,69.97,70.27,68.74,231.02,-0.30%
11/12/2024,69.87,68.15,70.08,68.12,231.68,2.34%
10/12/2024,68.27,67.86,68.72,67.45,157.46,0.26%
09/12/2024,68.09,66.93,68.59,66.85,176.71,1.66%
06/12/2024,66.98,68.08,68.13,66.71,207.12,-1.44%
05/12/2024,67.96,68.38,68.77,67.66,129.14,-0.34%
04/12/2024,68.19,69.58,70.11,68.14,141.67,-1.94%
03/12/2024,69.54,67.89,69.83,67.65,134.42,2.51%
02/12/2024,67.84,67.77,68.83,67.44,95.00,0.18%
29/11/2024,67.72,68.39,69.32,67.6,106.39,-0.92%
27/11/2024,68.35,68.57,69.01,67.81,87.85,-0.13%
26/11/2024,68.44,68.7,69.91,67.73,98.59,-0.20%
25/11/2024,68.58,70.96,70.96,68.36,146.70,-3.09%
22/11/2024,70.77,69.85,71.02,68.96,209.42,1.43%
21/11/2024,69.77,68.83,70.09,68.62,131.44,1.48%
20/11/2024,68.75,69.28,69.96,68.64,235.64,-0.71%
19/11/2024,69.24,69.08,69.74,68.48,349.70,0.10%
18/11/2024,69.17,66.77,69.37,66.53,300.55,3.36%
15/11/2024,66.92,68.45,68.51,66.71,200.77,-2.35%
14/11/2024,68.53,67.97,69.24,67.77,176.09,0.40%
13/11/2024,68.26,67.82,68.69,66.8,254.21,0.43%
12/11/2024,67.97,68.04,68.97,67.65,181.18,0.07%
11/11/2024,67.92,69.99,70.3,67.79,215.31,-3.12%
08/11/2024,70.11,71.8,71.87,69.67,211.74,-2.57%
07/11/2024,71.96,71.41,72.41,70.27,187.30,1.01%
06/11/2024,71.24,71.57,72.18,69.35,158.53,-0.45%
05/11/2024,71.56,71.17,72.2,70.86,108.65,0.75%
04/11/2024,71.03,69.87,71.36,69.84,108.26,2.82%
01/11/2024,69.08,69.96,70.95,68.9,110.38,0.39%
31/10/2024,68.81,68.65,70.31,67.87,109.20,0.92%
30/10/2024,68.18,66.97,68.73,66.88,92.73,2.05%
29/10/2024,66.81,67.63,68.09,66.32,93.13,-0.25%
28/10/2024,66.98,68.58,68.6,66.59,141.39,-6.12%
25/10/2024,71.35,70.02,71.52,69.63,99.41,2.16%
24/10/2024,69.84,70.62,71.87,69.41,83.73,-0.75%
23/10/2024,70.37,70.94,71.29,69.76,119.31,-1.91%
22/10/2024,71.74,69.96,72.09,69.35,330.46,2.43%
21/10/2024,70.04,68.94,70.39,68.46,302.75,1.97%
18/10/2024,68.69,70.17,70.67,68.17,335.56,-2.00%
17/10/2024,70.09,70.11,70.53,68.89,228.84,0.39%
16/10/2024,69.82,70.39,70.69,69.12,181.55,-0.27%
15/10/2024,70.01,71.14,71.57,69.2,244.86,-4.41%
14/10/2024,73.24,74.26,74.35,71.24,174.47,-2.15%
11/10/2024,74.85,75.0,75.28,73.85,217.34,-0.35%
10/10/2024,75.11,72.73,75.45,72.62,206.39,3.47%
09/10/2024,72.59,73.27,73.82,71.0,228.02,-0.53%
08/10/2024,72.98,76.63,77.7,72.12,329.53,-4.56%
07/10/2024,76.47,73.76,76.7,73.01,257.21,3.79%
04/10/2024,73.68,73.35,74.84,72.94,262.04,0.70%
03/10/2024,73.17,70.49,73.51,70.08,275.08,4.99%
02/10/2024,69.69,70.3,71.95,69.45,241.14,0.43%
