Date,Price,Volume,Change %
2024-12-31,71.25,63.63,1.02%
2024-12-30,70.53,93.1,0.50%
2024-12-27,70.18,79.13,1.37%
2024-12-26,69.23,69.64,-0.59%
2024-12-24,69.64,40.39,1.21%
2024-12-23,68.81,90.95,-0.30%
2024-12-20,69.02,114.62,-0.52%
2024-12-19,69.38,291.66,-0.91%
2024-12-18,70.02,326.61,0.53%
2024-12-17,69.65,280.9,-0.91%
2024-12-16,70.29,210.75,-0.75%
2024-12-13,70.82,201.26,1.67%
2024-12-12,69.66,231.02,-0.30%
2024-12-11,69.87,231.68,2.34%
2024-12-10,68.27,157.46,0.26%
2024-12-09,68.09,176.71,1.66%
2024-12-06,66.98,207.12,-1.44%
2024-12-05,67.96,129.14,-0.34%
2024-12-04,68.19,141.67,-1.94%
2024-12-03,69.54,134.42,2.51%
2024-12-02,67.84,95.0,0.18%
2024-11-29,67.72,106.39,-0.92%
2024-11-27,68.35,87.85,-0.13%
2024-11-26,68.44,98.59,-0.20%
2024-11-25,68.58,146.7,-3.09%
2024-11-22,70.77,209.42,1.43%
2024-11-21,69.77,131.44,1.48%
2024-11-20,68.75,235.64,-0.71%
2024-11-19,69.24,349.7,0.10%
2024-11-18,69.17,300.55,3.36%
2024-11-15,66.92,200.77,-2.35%
2024-11-14,68.53,176.09,0.40%
2024-11-13,68.26,254.21,0.43%
2024-11-12,67.97,181.18,0.07%
2024-11-11,67.92,215.31,-3.12%
2024-11-08,70.11,211.74,-2.57%
2024-11-07,71.96,187.3,1.01%
2024-11-06,71.24,158.53,-0.45%
2024-11-05,71.56,108.65,0.75%
2024-11-04,71.03,108.26,2.82%
2024-11-01,69.08,110.38,0.39%
2024-10-31,68.81,109.2,0.92%
2024-10-30,68.18,92.73,2.05%
2024-10-29,66.81,93.13,-0.25%
2024-10-28,66.98,141.39,-6.12%
2024-10-25,71.35,99.41,2.16%
2024-10-24,69.84,83.73,-0.75%
2024-10-23,70.37,119.31,-1.91%
2024-10-22,71.74,330.46,2.43%
2024-10-21,70.04,302.75,1.97%
