Date,Dia,Mês,Ano,Valor,Change %,Year-Month
2010-02-01,1,February,2010,66571.74,0.0,2010-2
2010-03-01,1,March,2010,67227.93,0.9856885218862965,2010-3
2010-04-01,1,April,2010,71136.34,5.81367000292885,2010-4
2010-06-01,1,June,2010,61840.99,-13.06695002863515,2010-6
2010-07-01,1,July,2010,61236.2,-0.9779759347319672,2010-7
2010-09-01,1,September,2010,67072.53,9.530849399538187,2010-9
2010-10-01,1,October,2010,70229.35,4.706576597006262,2010-10
2010-11-01,1,November,2010,71560.93,1.8960448872159308,2010-11
2010-12-01,1,December,2010,69345.85,-3.0953762059827694,2010-12
2010-02-02,2,February,2010,67163.21,-3.147470252365492,2010-2
2010-03-02,2,March,2010,67779.16,0.9170943437635026,2010-3
2010-06-02,2,June,2010,62942.91,-7.135305306232775,2010-6
2010-07-02,2,July,2010,61429.79,-2.403956220009529,2010-7
2010-08-02,2,August,2010,68517.46,11.537838563342007,2010-8
2010-09-02,2,September,2010,66808.08,-2.494809352243943,2010-9
2010-12-02,2,December,2010,69527.07,4.0698520298742435,2010-12
2010-02-03,3,February,2010,67108.56,-3.4785156342702295,2010-2
2010-03-03,3,March,2010,67641.34,0.7939076624502217,2010-3
2010-05-03,3,May,2010,67119.41,-0.771613927222603,2010-5
2010-08-03,3,August,2010,67997.36,1.308041891309819,2010-8
2010-09-03,3,September,2010,66678.62,-1.9393988237190407,2010-9
2010-11-03,3,November,2010,71904.77,7.837819678931579,2010-11
2010-12-03,3,December,2010,69766.09,-2.9743228439504166,2010-12
2010-01-04,4,January,2010,70045.08,0.3998934152680933,2010-1
2010-02-04,4,February,2010,63934.01,-8.724481433956532,2010-2
2010-03-04,4,March,2010,67814.71,6.069852336807902,2010-3
2010-05-04,4,May,2010,64869.32,-4.343290710820713,2010-5
2010-06-04,4,June,2010,61675.75,-4.923082282965197,2010-6
2010-08-04,4,August,2010,68272.0,10.695046270211538,2010-8
2010-10-04,4,October,2010,70384.92,3.0948558706350937,2010-10
2010-11-04,4,November,2010,72995.69,3.7092746571282698,2010-11
2010-01-05,5,January,2010,70239.82,-3.7753872865644467,2010-1
2010-02-05,5,February,2010,62762.7,-10.64512978535539,2010-2
2010-03-05,5,March,2010,68846.5,9.693336966064248,2010-3
2010-04-05,5,April,2010,71289.68,3.5487352298228636,2010-4
2010-05-05,5,May,2010,64914.17,-8.94310368625585,2010-5
2010-07-05,5,July,2010,60865.27,-6.237313055069493,2010-7
2010-08-05,5,August,2010,68411.72,12.398614185068112,2010-8
2010-10-05,5,October,2010,71283.11,4.197219423806331,2010-10
2010-11-05,5,November,2010,72606.58,1.8566389709988806,2010-11
2010-01-06,6,January,2010,70729.34,-2.585495694742823,2010-1
2010-04-06,6,April,2010,71095.65,0.5179038854314255,2010-4
2010-05-06,6,May,2010,63414.22,-10.804360041718441,2010-5
2010-07-06,6,July,2010,62064.75,-2.1280242822508955,2010-7
2010-08-06,6,August,2010,68094.76,9.715675967437232,2010-8
2010-09-06,6,September,2010,66747.3,-1.9788013057098541,2010-9
2010-10-06,6,October,2010,70541.37,5.684229923907025,2010-10
2010-12-06,6,December,2010,69551.81,-1.4028080259853137,2010-12
2010-01-07,7,January,2010,70451.12,1.2930073279185716,2010-1
2010-04-07,7,April,2010,70792.94,0.4851874604690609,2010-4
2010-05-07,7,May,2010,62870.88,-11.190466167954039,2010-5
2010-06-07,7,June,2010,61182.92,-2.684804157345977,2010-6
2010-07-07,7,July,2010,63283.8,3.433768770761514,2010-7
2010-10-07,7,October,2010,69918.4,10.48388371115514,2010-10
2010-12-07,7,December,2010,69337.64,-0.8306254147692038,2010-12
2010-01-08,8,January,2010,70262.7,1.3341382833335524,2010-1
2010-02-08,8,February,2010,63153.09,-10.118612008932192,2010-2
2010-03-08,8,March,2010,68575.47,8.586088186658802,2010-3
2010-04-08,8,April,2010,71784.78,4.679967924390449,2010-4
2010-06-08,8,June,2010,61793.64,-13.918187114315872,2010-6
2010-07-08,8,July,2010,63476.32,2.72306340911459,2010-7
2010-09-08,8,September,2010,66407.28,4.617406932222923,2010-9
2010-10-08,8,October,2010,70808.8,6.628068488876537,2010-10
2010-11-08,8,November,2010,72657.37,2.6106500886895256,2010-11
2010-12-08,8,December,2010,68174.92,-6.169298448319827,2010-12
2010-02-09,9,February,2010,64718.17,-5.070412990583639,2010-2
2010-03-09,9,March,2010,69576.38,7.50671720167615,2010-3
2010-04-09,9,April,2010,71417.27,2.6458548145218197,2010-4
2010-06-09,9,June,2010,61478.61,-13.916325841074585,2010-6
2010-08-09,9,August,2010,67862.28,10.383562673261482,2010-8
2010-09-09,9,September,2010,66624.1,-1.8245481878887526,2010-9
2010-11-09,9,November,2010,71679.47,7.587899874069581,2010-11
2010-12-09,9,December,2010,67879.46,-5.301392434960794,2010-12
2010-02-10,10,February,2010,65051.42,-4.166267675081691,2010-2
2010-03-10,10,March,2010,69979.28,7.575330407852743,2010-3
2010-05-10,10,May,2010,65452.68,-6.46848610045716,2010-5
2010-06-10,10,June,2010,63048.8,-3.67269911636926,2010-6
2010-08-10,10,August,2010,67223.23,6.620950755605182,2010-8
2010-09-10,10,September,2010,66806.79,-0.6194882334573992,2010-9
2010-11-10,10,November,2010,71638.38,7.232184033988176,2010-11
2010-12-10,10,December,2010,68341.83,-4.601653471225897,2010-12
2010-01-11,11,January,2010,70433.49,3.060585296003926,2010-1
2010-02-11,11,February,2010,66128.94,-6.111510305679868,2010-2
2010-03-11,11,March,2010,69884.61,5.679313776993844,2010-3
2010-05-11,11,May,2010,64424.89,-7.8124783124639325,2010-5
2010-06-11,11,June,2010,63605.38,-1.2720394245143485,2010-6
2010-08-11,11,August,2010,65790.29,3.4351025023354964,2010-8
2010-10-11,11,October,2010,70946.49,7.837326754449658,2010-10
2010-11-11,11,November,2010,71195.16,0.3505035978524029,2010-11
2010-01-12,12,January,2010,70075.78,-1.5722698003628355,2010-1
2010-02-12,12,February,2010,65854.97,-6.023208018519377,2010-2
2010-03-12,12,March,2010,69341.38,5.294072717670373,2010-3
2010-04-12,12,April,2010,70614.36,1.8358157856102508,2010-4
2010-05-12,12,May,2010,65223.63,-7.634042141003617,2010-5
2010-07-12,12,July,2010,62960.1,-3.470414020194823,2010-7
2010-08-12,12,August,2010,65966.17,4.774563572802459,2010-8
2010-11-12,12,November,2010,70367.15,6.671571200813986,2010-11
2010-01-13,13,January,2010,70385.47,0.02603487564865059,2010-1
2010-04-13,13,April,2010,70792.4,0.57814489268877,2010-4
2010-05-13,13,May,2010,64788.22,-8.481390657754218,2010-5
2010-07-13,13,July,2010,63685.56,-1.7019451992970391,2010-7
2010-08-13,13,August,2010,66264.43,4.049379482570292,2010-8
2010-09-13,13,September,2010,68030.58,2.6653062585764387,2010-9
2010-10-13,13,October,2010,71674.9,5.35688509490877,2010-10
2010-12-13,13,December,2010,69126.32,-3.555749641785322,2010-12
2010-01-14,14,January,2010,69801.42,0.9766178786893231,2010-1
2010-04-14,14,April,2010,71034.85,1.7670557418459465,2010-4
2010-05-14,14,May,2010,63412.47,-10.73047947591922,2010-5
2010-06-14,14,June,2010,63532.85,0.18983647853489938,2010-6
2010-07-14,14,July,2010,63479.46,-0.08403526679504614,2010-7
2010-09-14,14,September,2010,67691.85,6.6358314957310816,2010-9
2010-10-14,14,October,2010,71692.29,5.909780867268344,2010-10
2010-12-14,14,December,2010,68742.97,-4.1138593843215165,2010-12
2010-01-15,15,January,2010,68978.3,0.3423331869426116,2010-1
2010-03-15,15,March,2010,69023.75,0.06589028723524848,2010-3
2010-04-15,15,April,2010,70524.35,2.17403429978813,2010-4
2010-06-15,15,June,2010,64442.27,-8.624085156403439,2010-6
2010-07-15,15,July,2010,63489.37,-1.4786878240012236,2010-7
2010-09-15,15,September,2010,68106.85,7.272839532035058,2010-9
