index,Year,Month,Year-Month,Value,Inflac_IPCA,IPCA_Acumulado
15,2009,1,2009-1,0.48%,0.48,0.0
31,2009,2,2009-2,0.55%,0.55,0.47999999999999154
47,2009,3,2009-3,0.20%,0.2,1.0326400000000069
63,2009,4,2009-4,0.48%,0.48,1.2347052800000036
79,2009,5,2009-5,0.47%,0.47,1.7206318653439912
95,2009,6,2009-6,0.36%,0.36,2.198718835111091
111,2009,7,2009-7,0.24%,0.24,2.5666342229174965
127,2009,8,2009-8,0.15%,0.15,2.8127941450524885
143,2009,9,2009-9,0.24%,0.24,2.9670133362700746
159,2009,10,2009-10,0.28%,0.28,3.2141341682771163
175,2009,11,2009-11,0.41%,0.41,3.5031337439482835
191,2009,12,2009-12,0.37%,0.37,3.927496592298474
14,2010,1,2010-1,0.75%,0.75,4.312028329689976
30,2010,2,2010-2,0.78%,0.78,4.59232538033707
46,2010,3,2010-3,0.52%,0.52,4.831571873002205
62,2010,4,2010-4,0.57%,0.57,5.166363320101608
78,2010,5,2010-5,0.43%,0.43,5.260560898712385
94,2010,6,2010-6,0.00%,0.0,5.218653638475956
110,2010,7,2010-7,0.01%,0.01,4.841225227656443
126,2010,8,2010-8,0.04%,0.04,4.6006677475849855
142,2010,9,2010-9,0.45%,0.45,4.485779345665519
158,2010,10,2010-10,0.75%,0.75,4.704674134797493
174,2010,11,2010-11,0.83%,0.83,5.195412037104585
190,2010,12,2010-12,0.63%,0.63,5.635428699345257
13,2011,1,2011-1,0.83%,0.83,5.909068347266211
29,2011,2,2011-2,0.80%,0.8,5.993164877963819
45,2011,3,2011-3,0.79%,0.79,6.014199441345025
61,2011,4,2011-4,0.77%,0.77,6.298957040321995
77,2011,5,2011-5,0.47%,0.47,6.510350014450106
93,2011,6,2011-6,0.15%,0.15,6.5527717410316155
109,2011,7,2011-7,0.16%,0.16,6.712600898643162
125,2011,8,2011-8,0.37%,0.37,6.872653794701455
141,2011,9,2011-9,0.53%,0.53,7.2251925367271985
157,2011,10,2011-10,0.43%,0.43,7.310588409329877
173,2011,11,2011-11,0.52%,0.52,6.9697508084267445
189,2011,12,2011-12,0.50%,0.5,6.640874256303286
12,2012,1,2012-1,0.56%,0.56,6.503109040628829
28,2012,2,2012-2,0.45%,0.45,6.21791773406366
44,2012,3,2012-3,0.21%,0.21,5.8491055197092745
60,2012,4,2012-4,0.64%,0.64,5.239992698978724
76,2012,5,2012-5,0.36%,0.36,5.10422611119592
92,2012,6,2012-6,0.08%,0.08,4.9891523093423595
108,2012,7,2012-7,0.43%,0.43,4.915769976225448
124,2012,8,2012-8,0.41%,0.41,5.198590043054341
140,2012,9,2012-9,0.57%,0.57,5.240514359102222
156,2012,10,2012-10,0.59%,0.59,5.282388631203716
172,2012,11,2012-11,0.60%,0.6,5.450119211518278
188,2012,12,2012-12,0.79%,0.79,5.534042903688174
11,2013,1,2013-1,0.86%,0.86,5.838568997639171
27,2013,2,2013-2,0.60%,0.6,6.1543165185151905
43,2013,3,2013-3,0.47%,0.47,6.312834661648847
59,2013,4,2013-4,0.55%,0.55,6.588668780120321
75,2013,5,2013-5,0.37%,0.37,6.493349024653217
91,2013,6,2013-6,0.26%,0.26,6.503960159470323
107,2013,7,2013-7,0.03%,0.03,6.695514044649253
123,2013,8,2013-8,0.24%,0.24,6.270559293898881
139,2013,9,2013-9,0.35%,0.35,6.090637024404177
155,2013,10,2013-10,0.57%,0.57,5.858560459371187
171,2013,11,2013-11,0.54%,0.54,5.83751292771606
187,2013,12,2013-12,0.92%,0.92,5.774389162550464
10,2014,1,2014-1,0.55%,0.55,5.910818080013747
26,2014,2,2014-2,0.69%,0.69,5.585294050618539
42,2014,3,2014-3,0.92%,0.92,5.679754055236441
